Kind,Name,PercentLackOfCohesion
Public Class,"br.udesc.ceavi.pin.infosaude.control.CampanhaControl",61
Public Class,"br.udesc.ceavi.pin.infosaude.control.EnderecoControl",55
Public Class,"br.udesc.ceavi.pin.infosaude.control.InstituicaoControl",60
Public Class,"br.udesc.ceavi.pin.infosaude.control.PessoaControl",54
Public Class,"br.udesc.ceavi.pin.infosaude.control.ProfissionalControl",50
Public Class,"br.udesc.ceavi.pin.infosaude.control.PublicoAlvoControl",50
Public Class,"br.udesc.ceavi.pin.infosaude.control.UsuarioControl",62
Public Class,"br.udesc.ceavi.pin.infosaude.control.VacinaControl",67
Public Interface,"br.udesc.ceavi.pin.infosaude.control.dao.ConexaoJDBC",0
Public Class,"br.udesc.ceavi.pin.infosaude.control.dao.ConexaoPostgresJDBC",0
Public Class,"br.udesc.ceavi.pin.infosaude.control.dao.EnderecoStatement",0
Public Class,"br.udesc.ceavi.pin.infosaude.control.dao.PreparaStatement",88
Public Class,"br.udesc.ceavi.pin.infosaude.control.dao.ProfissionalStatement",0
Public Class,"br.udesc.ceavi.pin.infosaude.control.dao.ResultadoConsultas",0
Public Class,"br.udesc.ceavi.pin.infosaude.control.dao.UsuarioStatement",0
Public Class,"br.udesc.ceavi.pin.infosaude.control.excecpton.DadosVaziosExcepitions",0
Public Class,"br.udesc.ceavi.pin.infosaude.control.excecpton.IdadeMaximaMenorQueIdadeMinimaPublicoAlvoException",0
Public Class,"br.udesc.ceavi.pin.infosaude.control.excecpton.LoginJaRegistradoNaBaseDeDadosException",0
Public Class,"br.udesc.ceavi.pin.infosaude.modelo.Campanha",70
Public Class,"br.udesc.ceavi.pin.infosaude.modelo.Carterinha",72
Public Class,"br.udesc.ceavi.pin.infosaude.modelo.Endereco",83
Public Enum Type,"br.udesc.ceavi.pin.infosaude.modelo.Estado",98
Public Class,"br.udesc.ceavi.pin.infosaude.modelo.Instituicao",77
Public Class,"br.udesc.ceavi.pin.infosaude.modelo.Pessoa",74
Public Class,"br.udesc.ceavi.pin.infosaude.modelo.Profissional",58
Public Class,"br.udesc.ceavi.pin.infosaude.modelo.PublicoAlvo",68
Public Enum Type,"br.udesc.ceavi.pin.infosaude.modelo.Sexo",83
Public Class,"br.udesc.ceavi.pin.infosaude.modelo.Usuario",60
Public Interface,"br.udesc.ceavi.pin.infosaude.modelo.Usuario_Logado",0
Public Class,"br.udesc.ceavi.pin.infosaude.modelo.Vacina",70
Public Class,"br.udesc.ceavi.pin.infosaude.principal.Main",66
Public Class,"br.udesc.ceavi.pin.infosaude.util.CNPJ",60
Public Class,"br.udesc.ceavi.pin.infosaude.util.CPF",60
Public Class,"br.udesc.ceavi.pin.infosaude.util.SetaDados",0
Public Class,"br.udesc.ceavi.pin.infosaude.util.VerificaDados",0
Public Class,"br.udesc.ceavi.pin.infosaude.view.component.FrameCadastroDeCampanha",77
Class,"br.udesc.ceavi.pin.infosaude.view.component.FrameCadastroDeCampanha.initComponents.(Anon_2)",0
Class,"br.udesc.ceavi.pin.infosaude.view.component.FrameCadastroDeCampanha.listaVacina.(for_loop_2).(Anon_1)",0
Class,"br.udesc.ceavi.pin.infosaude.view.component.FrameCadastroDeCampanha.main.(Anon_3)",0
Public Class,"br.udesc.ceavi.pin.infosaude.view.component.FrameCadastroDeVacina",84
Class,"br.udesc.ceavi.pin.infosaude.view.component.FrameCadastroDeVacina.initComponents.(Anon_1)",0
Class,"br.udesc.ceavi.pin.infosaude.view.component.FrameCadastroDeVacina.initComponents.(Anon_2)",0
Class,"br.udesc.ceavi.pin.infosaude.view.component.FrameCadastroDeVacina.initComponents.(Anon_3)",0
Class,"br.udesc.ceavi.pin.infosaude.view.component.FrameCadastroDeVacina.initComponents.(Anon_4)",0
Public Class,"br.udesc.ceavi.pin.infosaude.view.component.MenuJPaneUniversao",71
Private Class,"br.udesc.ceavi.pin.infosaude.view.component.MenuJPaneUniversao.MouseListenner",50
Public Class,"br.udesc.ceavi.pin.infosaude.view.component.campoDeAcao.InternalFrameCadastrarInstituicao",78
Class,"br.udesc.ceavi.pin.infosaude.view.component.campoDeAcao.InternalFrameCadastrarInstituicao.initComponents.(Anon_1)",0
Class,"br.udesc.ceavi.pin.infosaude.view.component.campoDeAcao.InternalFrameCadastrarInstituicao.initComponents.(Anon_2)",0
Class,"br.udesc.ceavi.pin.infosaude.view.component.campoDeAcao.InternalFrameCadastrarInstituicao.initComponents.(Anon_3)",0
Class,"br.udesc.ceavi.pin.infosaude.view.component.campoDeAcao.InternalFrameCadastrarInstituicao.initComponents.(Anon_4)",0
Class,"br.udesc.ceavi.pin.infosaude.view.component.campoDeAcao.InternalFrameCadastrarInstituicao.initComponents.(Anon_5)",0
Public Class,"br.udesc.ceavi.pin.infosaude.view.component.campoDeAcao.InternalFrameCadastrarPessoa",80
Class,"br.udesc.ceavi.pin.infosaude.view.component.campoDeAcao.InternalFrameCadastrarPessoa.initComponents.(Anon_1)",0
Class,"br.udesc.ceavi.pin.infosaude.view.component.campoDeAcao.InternalFrameCadastrarPessoa.initComponents.(Anon_2)",0
Class,"br.udesc.ceavi.pin.infosaude.view.component.campoDeAcao.InternalFrameCadastrarPessoa.initComponents.(Anon_3)",0
Class,"br.udesc.ceavi.pin.infosaude.view.component.campoDeAcao.InternalFrameCadastrarPessoa.initComponents.(Anon_4)",0
Class,"br.udesc.ceavi.pin.infosaude.view.component.campoDeAcao.InternalFrameCadastrarPessoa.initComponents.(Anon_5)",0
Public Class,"br.udesc.ceavi.pin.infosaude.view.component.campoDeAcao.InternalFrameCampanha",33
Public Class,"br.udesc.ceavi.pin.infosaude.view.component.campoDeAcao.InternalFrameDadosPessoais",76
Class,"br.udesc.ceavi.pin.infosaude.view.component.campoDeAcao.InternalFrameDadosPessoais.initComponents.(Anon_1)",0
Class,"br.udesc.ceavi.pin.infosaude.view.component.campoDeAcao.InternalFrameDadosPessoais.initComponents.(Anon_2)",0
Class,"br.udesc.ceavi.pin.infosaude.view.component.campoDeAcao.InternalFrameDadosPessoais.initComponents.(Anon_3)",0
Public Class,"br.udesc.ceavi.pin.infosaude.view.component.campoDeAcao.InternalFrameLancamentoDeRelatorio",75
Class,"br.udesc.ceavi.pin.infosaude.view.component.campoDeAcao.InternalFrameLancamentoDeRelatorio.cbRelatioActionPerformed.(Anon_4)",0
Class,"br.udesc.ceavi.pin.infosaude.view.component.campoDeAcao.InternalFrameLancamentoDeRelatorio.initComponents.(Anon_1)",0
Class,"br.udesc.ceavi.pin.infosaude.view.component.campoDeAcao.InternalFrameLancamentoDeRelatorio.initComponents.(Anon_2)",0
Class,"br.udesc.ceavi.pin.infosaude.view.component.campoDeAcao.InternalFrameLancamentoDeRelatorio.initComponents.(Anon_3)",50
Public Class,"br.udesc.ceavi.pin.infosaude.view.component.campoDeAcao.InternalFrameLancamentoDeVacina",84
Class,"br.udesc.ceavi.pin.infosaude.view.component.campoDeAcao.InternalFrameLancamentoDeVacina.initComponents.(Anon_1)",0
Class,"br.udesc.ceavi.pin.infosaude.view.component.campoDeAcao.InternalFrameLancamentoDeVacina.initComponents.(Anon_2)",0
Class,"br.udesc.ceavi.pin.infosaude.view.component.campoDeAcao.InternalFrameLancamentoDeVacina.initComponents.(Anon_3)",0
Class,"br.udesc.ceavi.pin.infosaude.view.component.campoDeAcao.InternalFrameLancamentoDeVacina.initComponents.(Anon_4)",0
Class,"br.udesc.ceavi.pin.infosaude.view.component.campoDeAcao.InternalFrameLancamentoDeVacina.initComponents.(Anon_5)",0
Class,"br.udesc.ceavi.pin.infosaude.view.component.campoDeAcao.InternalFrameLancamentoDeVacina.initComponents.(Anon_6)",0
Class,"br.udesc.ceavi.pin.infosaude.view.component.campoDeAcao.InternalFrameLancamentoDeVacina.initComponents.(Anon_7)",0
Class,"br.udesc.ceavi.pin.infosaude.view.component.campoDeAcao.InternalFrameLancamentoDeVacina.initComponents.(Anon_8)",0
Public Class,"br.udesc.ceavi.pin.infosaude.view.component.campoDeAcao.InternalFrameLogin",85
Class,"br.udesc.ceavi.pin.infosaude.view.component.campoDeAcao.InternalFrameLogin.initComponents.(Anon_1)",0
Class,"br.udesc.ceavi.pin.infosaude.view.component.campoDeAcao.InternalFrameLogin.initComponents.(Anon_2)",0
Class,"br.udesc.ceavi.pin.infosaude.view.component.campoDeAcao.InternalFrameLogin.initComponents.(Anon_3)",0
Class,"br.udesc.ceavi.pin.infosaude.view.component.campoDeAcao.InternalFrameLogin.initComponents.(Anon_4)",0
Public Class,"br.udesc.ceavi.pin.infosaude.view.component.campoDeAcao.InternalFrameTelaInicial",50
Public Class,"br.udesc.ceavi.pin.infosaude.view.component.campoDeAcao.InternalFrameVacina",63
Class,"br.udesc.ceavi.pin.infosaude.view.component.campoDeAcao.InternalFrameVacina.initComponents.(Anon_1)",0
Class,"br.udesc.ceavi.pin.infosaude.view.component.campoDeAcao.InternalFrameVacina.initComponents.(Anon_2)",0
Public Class,"br.udesc.ceavi.pin.infosaude.view.frame.FramePrincipal",88
Class,"br.udesc.ceavi.pin.infosaude.view.frame.FramePrincipal.initComponents.(Anon_1)",0
Class,"br.udesc.ceavi.pin.infosaude.view.frame.FramePrincipal.initComponents.(Anon_2)",0
Class,"br.udesc.ceavi.pin.infosaude.view.frame.FramePrincipal.initComponents.(Anon_3)",0
Class,"br.udesc.ceavi.pin.infosaude.view.frame.FramePrincipal.initComponents.(Anon_4)",0
Public Interface,"br.udesc.ceavi.pin.infosaude.view.frame.listener.Listener",0
Public Class,"br.udesc.ceavi.pin.infosaude.view.frame.listener.ListenerMenuSemUsuario",71
Private Class,"br.udesc.ceavi.pin.infosaude.view.frame.listener.ListenerMenuSemUsuario.btnAction0Listener",0
Private Class,"br.udesc.ceavi.pin.infosaude.view.frame.listener.ListenerMenuSemUsuario.btnAction1Listener",0
Private Class,"br.udesc.ceavi.pin.infosaude.view.frame.listener.ListenerMenuSemUsuario.btnAction2Listener",0
Private Class,"br.udesc.ceavi.pin.infosaude.view.frame.listener.ListenerMenuSemUsuario.btnAction3Listener",0
Private Class,"br.udesc.ceavi.pin.infosaude.view.frame.listener.ListenerMenuSemUsuario.btnAction4Listener",0
Public Class,"br.udesc.ceavi.pin.infosaude.view.frame.listener.ListenerMenuUsuarioComum",71
Private Class,"br.udesc.ceavi.pin.infosaude.view.frame.listener.ListenerMenuUsuarioComum.btn0AcitionListener",0
Private Class,"br.udesc.ceavi.pin.infosaude.view.frame.listener.ListenerMenuUsuarioComum.btn1AcitionListener",0
Private Class,"br.udesc.ceavi.pin.infosaude.view.frame.listener.ListenerMenuUsuarioComum.btn2AcitionListener",0
